"city","country","pop2026","pop2025","popGrowth","latitude","longitude","isValidCity","slug"
"Hassan","India",128531,,,13.0071,76.0962,false,
"Khardah","India",128346,,,22.7186,88.3781,false,
"Yavatmal","India",128175,,,20.3932,78.132,false,
"Halisahar","India",128172,,,22.9322,88.4186,false,
"Panvel","India",128046,,,18.9888,73.1101,false,
"Titagarh","India",127751,,,22.7425,88.3733,false,
"Cuddapah","India",127010,,,14.4799,78.8235,false,
"Bettiah","India",127008,,,26.8023,84.5031,false,
"Hathras","India",126882,,,27.5955,78.052,false,
"Lalitpur","India",126475,,,24.6901,78.4192,false,
"Kolar","India",126441,,,13.1377,78.13,false,
"Mandsaur","India",124988,,,24.0718,75.0699,false,
"Gondia","India",124897,,,21.4603,80.192,false,
"Rajapalaiyam","India",124168,,,9.45296,77.5534,false,
"Darjiling","India",123797,,,27.0333,88.2667,false,
"Mohali","India",123484,,,30.68,76.7221,false,
"Palanpur","India",123294,,,24.1713,72.4383,false,
"Dam Dam","India",122719,,,22.6334,88.4229,false,
"Hardoi","India",122635,,,27.3949,80.1317,false,
"Puruliya","India",122533,,,23.3306,86.363,false,
"Dibrugarh","India",122155,,,27.4799,94.9084,false,
"Palwal","India",121965,,,28.1447,77.3255,false,
"Nalgonda","India",121826,,,17.0544,79.2671,false,
"Bhadreswar","India",121662,,,22.8245,88.3384,false,
"Vejalpur","India",121610,,,22.6902,73.563,false,
"Chikmagalur","India",121484,,,13.3223,75.774,false,
"Raigarh","India",121278,,,21.8976,83.3966,false,
"Guntakal Junction","India",120964,,,15.1711,77.3624,false,
"Gangapur","India",120115,,,26.4725,76.7174,false,
"Deoli","India",120000,,,28.5025,77.2312,false,
"Siwan","India",119181,,,26.221,84.3561,false,
"Damoh","India",118776,,,23.8331,79.4419,false,
"Adilabad","India",118526,,,19.672,78.5359,false,
"Chicacole","India",118299,,,18.2989,83.8975,false,
"Uppal Kalan","India",118259,,,17.4058,78.5591,false,
"Jetpur","India",118068,,,21.7548,70.6235,false,
"Morbi","India",118022,,,22.8173,70.8377,false,
"Patan","India",117863,,,23.8507,72.1296,false,
"Khanna","India",117137,,,30.7055,76.222,false,
"Botad","India",117053,,,22.1692,71.6667,false,
"Rishra","India",117014,,,22.7239,88.3456,false,
